dataDia;tmin
1998-01;24,6
1998-02;25,8
1998-03;20,8
1998-04;21,2
1998-05;25,4
1998-06;24,8
1998-07;23,5
1998-08;23,7
1998-09;24,1
1998-10;24
1998-11;24,4
1998-12;24,1
1999-01;24,3
1999-02;24,6
1999-03;24,7
1999-04;24
1999-05;22,3
1999-06;23,1
1999-07;22,8
1999-08;23,2
1999-09;23,8
1999-10;24
1999-11;24,4
1999-12;23,7
2000-01;24,2
2000-02;24
2000-03;24,9
2000-04;24,2
2000-05;24
2000-06;23
2000-07;23,6
2000-08;22,6
2000-09;21,8
2000-10;22,0616093
2000-10;22,46574217
2000-10;22,42999893
2001-01;22,20592841
2001-02;21,84926706
2001-03;22,1
2001-04;22,39569128
2001-05;22,23445935
2001-06;22,75375149
2001-07;21,90387159
2001-08;21,3
2001-09;22,1
2001-10;22,2
2001-11;23,1
2001-12;23,4
2002-01;22,2
2002-02;20,7
2002-03;22,1
2002-04;21,6
2002-05;21,9
2002-06;20,4
2002-07;20,4
2002-08;20
2002-09;20
2002-10;22
2002-11;21,9
2002-12;22,3
2003-01;20,3
2003-02;21,3
2003-03;21,6
2003-04;22,4
2003-05;22,2
2003-06;20,4
2003-07;19,6
2003-08;20,8
2003-09;21,4
2003-10;22,4
2003-11;22,3
2003-12;23,5
2004-01;21,7
2004-02;22,4
2004-03;21,6
2004-04;22,3
2004-05;21,2
2004-06;21,2
2004-07;20
2004-08;20,7
2004-09;21,1
2004-10;21,6
2004-11;22,36059286
2004-12;22,3
2005-01;21,7
2005-02;22,8
2005-03;22,4
2005-04;21,6
2005-05;22,2
2005-06;20,4
2005-07;21
2005-08;21,5
2005-09;21,2
2005-10;21,8
2005-11;22
2005-12;22,93295109
2006-01;23,4
2006-02;21,7
2006-03;23,1
2006-04;22,6
2006-05;21,5
2006-06;20,6
2006-07;19,6
2006-08;20,7
2006-09;21,5
2006-10;22,2
2006-11;22,10220747
2006-12;22,4
2007-01;22,5
2007-02;22
2007-03;22
2007-04;22,1
2007-05;22,4
2007-06;20,3
2007-07;20,3
2007-08;20,7
2007-09;22,04346908
2007-10;21,2
2007-11;21,4
2007-12;21,8
2008-01;21,6
2008-02;21,9
2008-03;21,8
2008-04;22,6
2008-05;22,2
2008-06;19,9
2008-07;19,3
2008-08;20,7
2008-09;21,81338057
2008-10;20,6
2008-11;21,5
2008-12;21,5
2009-01;22,2
2009-02;21,4
2009-03;22,5
2009-04;22,2
2009-05;22,7
2009-06;21,8
2009-07;20,3
2009-08;18,9
2009-09;20,4
2009-10;20,2
2009-11;22,13325071
2009-12;22,1
2010-01;19,9
2010-02;22,5
2010-03;22,5
2010-04;22,3
2010-05;22,5
2010-06;21,2
2010-07;21,8
2010-08;21,89791844
2010-09;22
2010-10;21,5
2010-11;22,4
2010-12;22
2012-01;22
2012-02;21,8
2012-03;22
2012-04;22,2
2012-05;22,6
2012-06;21,8
2012-07;21,4
2012-08;21
2012-09;21,2
2012-10;22,5
2012-11;22,1
2012-12;23
2013-01;22,7
2013-02;23
2013-03;23,7
2013-04;22
2013-05;21,6
2013-06;21,7
2013-07;19,8
2013-08;21,3
2013-09;21,9
2013-10;21,2
2013-11;21,6
2013-12;23,2
2014-01;22,2
2014-02;22,4
2014-03;22,7
2014-04;22,5
2014-05;21,8
2014-06;21,7
2014-07;21,2
2014-08;21,6
2014-09;21,4
2014-10;22,7
2014-11;21,8
2014-12;23
2015-01;23,3
2015-02;22
2015-03;22,4
2015-04;22,2
2015-05;22,4
2015-06;22,1
2015-07;22
2015-08;20,8
2015-09;21
2015-10;21,1
2015-11;22,5
2015-12;22,7
2016-01;20,6
2016-02;21,6
2016-03;23
2016-04;23,6
2016-05;23,5
2016-06;22,5
2016-07;21,8
2016-08;22,3
2016-09;22,4
2016-10;22,3
2016-11;23,4
2016-12;22,2
2017-01;23,9
2017-02;22
2017-03;22,7
2017-04;22,4
2017-05;21,8
2017-06;22,2
2017-07;20,7
2017-08;21,4
2017-09;22,5
2017-10;22,7
2017-11;23,1
2017-12;23,4
2018-01;23,2
2018-02;22,4
2018-03;22,3
2018-04;21,6
2018-05;21,2
2018-06;20,6
2018-07;21
2018-08;21,3
2018-09;22
2018-10;21,7
2018-11;23
2018-12;21,7
